"common_name","eBird","BAMv4","BAMv5","CGAMv1","DUC"
"Green-crowned Brilliant","Yes","No","No","No","No"
"Gray Crowned-Crane","Yes","No","No","No","No"
"Gray-chested Dove","Yes","No","No","No","No"
"Great Crested Flycatcher","Yes","Yes","No","No","No"
"Gray-capped Flycatcher","Yes","No","No","No","No"
"Great Crested Grebe","Yes","No","No","No","No"
"Great Crested Tern","Yes","No","No","No","No"
"Greater Ani","Yes","No","No","No","No"
"Great Antshrike","Yes","No","No","No","No"
"Eurasian Bittern","Yes","No","No","No","No"
"Great Bustard","Yes","No","No","No","No"
"Green Catbird","Yes","No","No","No","No"
"Great Cormorant","Yes","No","No","No","No"
"Greater Coucal","Yes","No","No","No","No"
"Great Curassow","Yes","No","No","No","No"
"Great Egret","Yes","No","No","No","No"
"Greenish Elaenia","Yes","No","No","No","No"
"American Flamingo","Yes","No","No","No","No"
"Greater Flamingo","Yes","No","No","No","No"
"Grenada Flycatcher","Yes","No","No","No","No"
"Great Grebe","Yes","No","No","No","No"
"Green Hermit","Yes","No","No","No","No"
"Green Honeycreeper","Yes","No","No","No","No"
"Great Hornbill","Yes","No","No","No","No"
"Green Ibis","Yes","No","No","No","No"
"Great Jacamar","Yes","No","No","No","No"
"Gray Junglefowl","Yes","No","No","No","No"
"Great Kiskadee","Yes","No","No","No","No"
"Great Knot","Yes","No","No","No","No"
"Great Lizard-Cuckoo","Yes","No","No","No","No"
"Green Mango","Yes","No","No","No","No"
"Greater Pewee","Yes","No","No","No","No"
"Great Potoo","Yes","No","No","No","No"
"Greater Rhea","Yes","No","No","No","No"
"Greater Roadrunner","Yes","No","No","No","No"
"Green Rosella","Yes","No","No","No","No"
"Greater Scaup","Yes","No","No","No","No"
"Great Shearwater","Yes","No","No","No","No"
"Great Shrike-Tyrant","Yes","No","No","No","No"
"Great Skua","Yes","No","No","No","No"
"Gray Teal","Yes","No","No","No","No"
"Green Thorntail","Yes","No","No","No","No"
"Great Thrush","Yes","No","No","No","No"
"Great Tinamou","Yes","No","No","No","No"
"Great Tit","Yes","No","No","No","No"
"Greater Whitethroat","Yes","No","No","No","No"
"Greater Yellowlegs","Yes","Yes","Yes","No","No"
"Gray-fronted Dove","Yes","No","No","No","No"
"Chinese Sparrowhawk","Yes","No","No","No","No"
"Green-fronted Hummingbird","Yes","No","No","No","No"
"Green-fronted Lancebill","Yes","No","No","No","No"
"Great Green Macaw","Yes","No","No","No","No"
"Great Gray Owl","Yes","No","No","No","No"
"Gray-headed Chachalaca","Yes","No","No","No","No"
"Gray-hooded Gull","Yes","No","No","No","No"
"Gray-headed Kite","Yes","No","No","No","No"
"Great Horned Owl","Yes","No","No","No","No"
"Lesser Horned Owl","Yes","No","No","No","No"
"Gray-headed Piprites","Yes","No","No","No","No"
"Gray-headed Tanager","Yes","No","No","No","No"
"Green Heron","Yes","No","No","No","No"
"Green Jay","Yes","No","No","No","No"
"Green Kingfisher","Yes","No","No","No","No"
"Green Parakeet","Yes","No","No","No","No"
"Green Sandpiper","Yes","No","No","No","No"
"Mexican Violetear","Yes","No","No","No","No"
"Iberian Green Woodpecker","Yes","No","No","No","No"
"Greater Prairie-Chicken","Yes","No","No","No","No"
"Great Pampa-Finch","Yes","No","No","No","No"
"Greater Painted-Snipe","Yes","No","No","No","No"
"Green-rumped Parrotlet","Yes","No","No","No","No"
"Gray-rumped Swift","Yes","No","No","No","No"
"Great Reed Warbler","Yes","No","No","No","No"
"Gray Silky-flycatcher","Yes","No","No","No","No"
"Great Spotted Kiwi","Yes","No","No","No","No"
"Green Shrike-Vireo","Yes","No","No","No","No"
"Great Spotted Woodpecker","Yes","No","No","No","No"
"Green-throated Carib","Yes","No","No","No","No"
"Gray-throated Chat","Yes","No","No","No","No"
"Great-tailed Grackle","Yes","No","No","No","No"
"Green-throated Mango","Yes","No","No","No","No"
"Green-tailed Trainbearer","Yes","No","No","No","No"
"Green-tailed Warbler","Yes","No","No","No","No"
"Great White Pelican","Yes","No","No","No","No"
"Gray-faced Petrel","Yes","No","No","No","No"
"Green-winged Saltator","Yes","No","No","No","No"
"Gray Butcherbird","Yes","No","No","No","No"
"Gray Catbird","Yes","Yes","No","No","No"
"Gray Currawong","Yes","No","No","No","No"
"Choco Elaenia","Yes","No","No","No","No"
"Gray Fantail","Yes","No","No","No","No"
"Grassland Yellow-Finch","Yes","No","No","No","No"
"Greater Yellow-Finch","Yes","No","No","No","No"
"Greenish Yellow-Finch","Yes","No","No","No","No"
"Gray Flycatcher","Yes","No","No","No","No"
"Gray Go-away-bird","Yes","No","No","No","No"
"Gray Gerygone","Yes","No","No","No","No"
"Gray Gull","Yes","No","No","No","No"
"Gray Hawk","Yes","No","No","No","No"
"Gray-lined Hawk","Yes","No","No","No","No"
"Canada Jay","Yes","Yes","No","No","No"
"Gray Kingbird","Yes","No","No","No","No"
"Gray Monjita","Yes","No","No","No","No"
"Jungle Nightjar","Yes","No","No","No","No"
"Gray Noddy","Yes","No","No","No","No"
"Gray Partridge","Yes","No","No","No","No"
"Gray Shrikethrush","Yes","No","No","No","No"
"Gray Tinamou","Yes","No","No","No","No"
"Gray Treepie","Yes","No","No","No","No"
"Gray Vireo","Yes","No","No","No","No"
"Gray Wagtail","Yes","No","No","No","No"
"Gray Whistler","Yes","No","No","No","No"
"Green-striped Brushfinch","Yes","No","No","No","No"
"Golden-spotted Ground Dove","Yes","No","No","No","No"
"Great Swallow-tailed Swift","Yes","No","No","No","No"
"Green-throated Mountain-gem","Yes","No","No","No","No"
"Guanay Cormorant","Yes","No","No","No","No"
"Guadeloupe Woodpecker","Yes","No","No","No","No"
"Guayaquil Woodpecker","Yes","No","No","No","No"
"Gull-billed Tern","Yes","No","No","No","No"
"Guira Cuckoo","Yes","No","No","No","No"
"Gundlach's Hawk","Yes","No","No","No","No"
"Gunnison Sage-Grouse","Yes","No","No","No","No"
"Greater White-fronted Goose","Yes","No","No","No","No"
"Gray-breasted Martin","Yes","No","No","No","No"
"Gray-breasted Seedsnipe","Yes","No","No","No","No"
"Gray-bellied Shrike-Tyrant","Yes","No","No","No","No"
"Gray-backed Storm-Petrel","Yes","No","No","No","No"
"Morrison's Fulvetta","Yes","No","No","No","No"
"Gray-chinned Minivet","Yes","No","No","No","No"
"Gray-cheeked Nunlet","Yes","No","No","No","No"
"Gray-cheeked Thrush","Yes","Yes","Yes","No","No"
"Straneck's Tyrannulet","Yes","No","No","No","No"
"Gray-capped Pygmy Woodpecker","Yes","No","No","No","No"
"Gray-cowled Wood-Rail","Yes","No","No","No","No"
"Gray-crowned Yellowthroat","Yes","No","No","No","No"
"Gray-faced Buzzard","Yes","No","No","No","No"
"Gray-flanked Cinclodes","Yes","No","No","No","No"
"Gray-headed Woodpecker","Yes","No","No","No","No"
"Gray-headed Bulbul","Yes","No","No","No","No"
"Gray-headed Dove","Yes","No","No","No","No"
"Gray-hooded Sierra Finch","Yes","No","No","No","No"
"Gray-throated Martin","Yes","No","No","No","No"
"Gray-tailed Tattler","Yes","No","No","No","No"
"Gray-throated Warbling Finch","Yes","No","No","No","No"
"Hadada Ibis","Yes","No","No","No","No"
"Hairy Woodpecker","Yes","Yes","No","No","No"
"Hamerkop","Yes","No","No","No","No"
"Hammond's Flycatcher","Yes","Yes","Yes","No","No"
"Happy Wren","Yes","No","No","No","No"
"Harlequin Duck","Yes","No","No","No","No"
"Hartlaub's Gull","Yes","No","No","No","No"
"Harris's Sparrow","Yes","No","No","No","No"
"Heermann's Gull","Yes","No","No","No","No"
"Helmeted Guineafowl","Yes","No","No","No","No"
"Hellmayr's Pipit","Yes","No","No","No","No"
"Henslow's Sparrow","Yes","No","No","No","No"
"Hepatic Tanager","Yes","No","No","No","No"
"Hermit Thrush","Yes","Yes","No","No","No"
"Hermit Warbler","Yes","No","No","No","No"
"Heart-spotted Woodpecker","Yes","No","No","No","No"
"Small-headed Elaenia","Yes","No","No","No","No"
"Highland Guan","Yes","No","No","No","No"
"Andean Motmot","Yes","No","No","No","No"
"Highland Tinamou","Yes","No","No","No","No"
"Common Hill Myna","Yes","No","No","No","No"
"Himalayan Cuckoo","Yes","No","No","No","No"
"Himalayan Rubythroat","Yes","No","No","No","No"
"Hispaniolan Emerald","Yes","No","No","No","No"
"Hispaniolan Lizard-Cuckoo","Yes","No","No","No","No"
"Hispaniolan Parakeet","Yes","No","No","No","No"
"Hispaniolan Amazon","Yes","No","No","No","No"
"Hispaniolan Pewee","Yes","No","No","No","No"
"Hispaniolan Spindalis","Yes","No","No","No","No"
"Hispaniolan Trogon","Yes","No","No","No","No"
"Hispaniolan Woodpecker","Yes","No","No","No","No"
"Horsfield's Bronze-Cuckoo","Yes","No","No","No","No"
"Hook-billed Kite","Yes","No","No","No","No"
"Hoffmann's Woodpecker","Yes","No","No","No","No"
"Hoary-headed Grebe","Yes","No","No","No","No"
"Honduran Emerald","Yes","No","No","No","No"
"Hooded Grebe","Yes","No","No","No","No"
"Hooded Grosbeak","Yes","No","No","No","No"
"Hooded Merganser","Yes","No","No","No","No"
"Hooded Oriole","Yes","No","No","No","No"
"Eurasian Hoopoe","Yes","No","No","No","No"
"Hooded Siskin","Yes","No","No","No","No"
"Hooded Vulture","Yes","No","No","No","No"
"Hooded Warbler","Yes","No","No","No","No"
"Hooded Yellowthroat","Yes","No","No","No","No"
"Horned Coot","Yes","No","No","No","No"
"Horned Grebe","Yes","No","No","No","No"
"Horned Guan","Yes","No","No","No","No"
"Horned Lark","Yes","Yes","No","Yes","No"
"Horned Puffin","Yes","No","No","No","No"
"House Crow","Yes","No","No","No","No"
"House Finch","Yes","No","No","No","No"
"House Sparrow","Yes","Yes","No","No","No"
"House Swift","Yes","No","No","No","No"
"Harris's Hawk","Yes","No","No","No","No"
"Hudsonian Godwit","Yes","No","No","No","No"
"Humboldt Penguin","Yes","No","No","No","No"
"Hutton's Shearwater","Yes","No","No","No","No"
"Hutton's Vireo","Yes","No","No","No","No"
"Iberian Chiffchaff","Yes","No","No","No","No"
"Iberian Gray Shrike","Yes","No","No","No","No"
"Imperial Cormorant","Yes","No","No","No","No"
"Imperial Amazon","Yes","No","No","No","No"
"Inagua Woodstar","Yes","No","No","No","No"
"Inca Dove","Yes","No","No","No","No"
"Indigo-capped Hummingbird","Yes","No","No","No","No"
"Inca Tern","Yes","No","No","No","No"
"Indigo Bunting","Yes","Yes","No","No","No"
"Indian Courser","Yes","No","No","No","No"
"Indian Cuckoo","Yes","No","No","No","No"
"Indian Pitta","Yes","No","No","No","No"
"Indian Robin","Yes","No","No","No","No"
"Indian Roller","Yes","No","No","No","No"
"Indian Silverbill","Yes","No","No","No","No"
"Indian Thick-knee","Yes","No","No","No","No"
"Indian Gray Hornbill","Yes","No","No","No","No"
"Indian Pond-Heron","Yes","No","No","No","No"
"Medium Egret","Yes","No","No","No","No"
"Island Scrub-Jay","Yes","No","No","No","No"
"Isthmian Wren","Yes","No","No","No","No"
"Ivory-billed Woodcreeper","Yes","No","No","No","No"
"Ivory Gull","Yes","No","No","No","No"
"Jabiru","Yes","No","No","No","No"
"Japanese Bush Warbler","Yes","No","No","No","No"
"Jamaican Becard","Yes","No","No","No","No"
"Jamaican Blackbird","Yes","No","No","No","No"
"Jamaican Crow","Yes","No","No","No","No"
"Jamaican Elaenia","Yes","No","No","No","No"
"Jamaican Euphonia","Yes","No","No","No","No"
"James's Flamingo","Yes","No","No","No","No"
"Jamaican Lizard-Cuckoo","Yes","No","No","No","No"
"Jamaican Mango","Yes","No","No","No","No"
"Jamaican Oriole","Yes","No","No","No","No"
"Jamaican Owl","Yes","No","No","No","No"
"Jamaican Pewee","Yes","No","No","No","No"
"Jamaican Spindalis","Yes","No","No","No","No"
"Jamaican Tody","Yes","No","No","No","No"
"Jamaican Vireo","Yes","No","No","No","No"
"Jamaican Woodpecker","Yes","No","No","No","No"
"Japanese Cormorant","Yes","No","No","No","No"
"Black Paradise-Flycatcher","Yes","No","No","No","No"
"Japanese Sparrowhawk","Yes","No","No","No","No"
"Java Sparrow","Yes","No","No","No","No"
"Jerdon's Bushlark","Yes","No","No","No","No"
"Jerdon's Leafbird","Yes","No","No","No","No"
"Jerdon's Nightjar","Yes","No","No","No","No"
"Jet Antbird","Yes","No","No","No","No"
"Jungle Babbler","Yes","No","No","No","No"
"Jungle Owlet","Yes","No","No","No","No"
"Juniper Titmouse","Yes","No","No","No","No"
"Karoo Prinia","Yes","No","No","No","No"
"Kea","Yes","No","No","No","No"
"Keel-billed Motmot","Yes","No","No","No","No"
"Keel-billed Toucan","Yes","No","No","No","No"
"Kelp Goose","Yes","No","No","No","No"
"Kelp Gull","Yes","No","No","No","No"
"Kentish Plover","Yes","No","No","No","No"
"Kentucky Warbler","Yes","No","No","No","No"
"Killdeer","Yes","Yes","No","No","No"
"King Eider","Yes","No","No","No","No"
"King Penguin","Yes","No","No","No","No"
"Aztec Rail","Yes","No","No","No","No"
"King Rail","Yes","No","No","No","No"
"King Vulture","Yes","No","No","No","No"
"Kirtland's Warbler","Yes","No","No","No","No"
"Klaas's Cuckoo","Yes","No","No","No","No"
"North Island Kokako","Yes","No","No","No","No"
"Key West Quail-Dove","Yes","No","No","No","No"
"Large-billed Scrubwren","Yes","No","No","No","No"
"Large-billed Tern","Yes","No","No","No","No"
"Ladder-backed Woodpecker","Yes","No","No","No","No"
"Laced Woodpecker","Yes","No","No","No","No"
"Large-footed Finch","Yes","No","No","No","No"
"Lappet-faced Vulture","Yes","No","No","No","No"
"Lake Duck","Yes","No","No","No","No"
"Bearded Vulture","Yes","No","No","No","No"
"Lanceolated Monklet","Yes","No","No","No","No"
"Lapland Longspur","Yes","Yes","No","No","No"
"Lark Bunting","Yes","No","No","Yes","No"
"Large Hawk-Cuckoo","Yes","No","No","No","No"
"Lark Sparrow","Yes","No","No","No","No"
"La Sagra's Flycatcher","Yes","No","No","No","No"
"La Selle Thrush","Yes","No","No","No","No"
"Lance-tailed Manakin","Yes","No","No","No","No"
"Latham's Snipe","Yes","No","No","No","No"
"Lattice-tailed Trogon","Yes","No","No","No","No"
"Laughing Falcon","Yes","No","No","No","No"
"Laughing Gull","Yes","No","No","No","No"
"Laughing Kookaburra","Yes","No","No","No","No"
"Lawrence's Goldfinch","Yes","No","No","No","No"
"Laysan Albatross","Yes","No","No","No","No"
"Lazuli Bunting","Yes","No","No","No","No"
"Lesser Black-backed Gull","Yes","No","No","No","No"
"Large-billed Seed-Finch","Yes","No","No","No","No"
"Leach's Storm-Petrel","Yes","No","No","No","No"
"Least Bittern","Yes","No","No","No","No"
"Lesser Antillean Bullfinch","Yes","No","No","No","No"
"Least Flycatcher","Yes","Yes","Yes","No","No"
"Lesser Antillean Flycatcher","Yes","No","No","No","No"
"Leaden Flycatcher","Yes","No","No","No","No"
"Least Grebe","Yes","No","No","No","No"
"Lesser Antillean Pewee","Yes","No","No","No","No"
"Lesser Antillean Saltator","Yes","No","No","No","No"
"Least Sandpiper","Yes","No","No","No","No"
"Least Seedsnipe","Yes","No","No","No","No"
"Lesser Antillean Swift","Yes","No","No","No","No"
"Lesser Antillean Tanager","Yes","No","No","No","No"
"Least Tern","Yes","No","No","No","No"
"Lemon-browed Flycatcher","Yes","No","No","No","No"
"LeConte's Sparrow","Yes","Yes","Yes","Yes","No"
"LeConte's Thrasher","Yes","No","No","No","No"
"Lesser Ground-Cuckoo","Yes","No","No","No","No"
"Lesser Gray Shrike","Yes","No","No","No","No"
"Lesser Prairie-Chicken","Yes","No","No","No","No"
"Lesser Coucal","Yes","No","No","No","No"
"Lesser Spotted Eagle","Yes","No","No","No","No"
"Lesser Elaenia","Yes","No","No","No","No"
"Lesser Flamingo","Yes","No","No","No","No"
"Lesser Goldfinch","Yes","No","No","No","No"
"Lesser Greenlet","Yes","No","No","No","No"
"Lesser Kestrel","Yes","No","No","No","No"
"Lesser Kiskadee","Yes","No","No","No","No"
"Lesser Nighthawk","Yes","No","No","No","No"
"Lesser Rhea","Yes","No","No","No","No"
"Lesser Roadrunner","Yes","No","No","No","No"
"Lesser Scaup","Yes","No","No","No","No"
"Lesser Striped Swallow","Yes","No","No","No","No"
"Lemon-spectacled Tanager","Yes","No","No","No","No"
"Lesser Violetear","Yes","No","No","No","No"
"Lesser Whitethroat","Yes","No","No","No","No"
"Lesser Yellowlegs","Yes","Yes","Yes","No","No"
"Yelkouan Shearwater","Yes","No","No","No","No"
"Lewin's Honeyeater","Yes","No","No","No","No"
"Lewin's Rail","Yes","No","No","No","No"
"Lewis's Woodpecker","Yes","No","No","No","No"
"Little Black Cormorant","Yes","No","No","No","No"
"Little Blue Heron","Yes","No","No","No","No"
"Lilac-breasted Roller","Yes","No","No","No","No"
"Lilac-crowned Amazon","Yes","No","No","No","No"
"Lineated Foliage-gleaner","Yes","No","No","No","No"
"Chihuahuan Meadowlark","Yes","No","No","No","No"
"Limpkin","Yes","No","No","No","No"
"Lined Antshrike","Yes","No","No","No","No"
"Lined Seedeater","Yes","No","No","No","No"
"Lincoln's Sparrow","Yes","Yes","Yes","No","No"
"Lineated Woodpecker","Yes","No","No","No","No"
"Little Pied Cormorant","Yes","No","No","No","No"
"Little Ringed Plover","Yes","No","No","No","No"
"Little Spotted Kiwi","Yes","No","No","No","No"
"Little Bittern","Yes","No","No","No","No"
"Little Bustard","Yes","No","No","No","No"
"Little Buttonquail","Yes","No","No","No","No"
"Little Cormorant","Yes","No","No","No","No"
"Little Corella","Yes","No","No","No","No"
"Little Crow","Yes","No","No","No","No"
"Little Cuckoo","Yes","No","No","No","No"
"Little Egret","Yes","No","No","No","No"
"Little Forktail","Yes","No","No","No","No"
"Little Friarbird","Yes","No","No","No","No"
"Little Grebe","Yes","No","No","No","No"
"Little Gull","Yes","No","No","No","No"
"Little Hermit","Yes","No","No","No","No"
"Little Lorikeet","Yes","No","No","No","No"
"Little Owl","Yes","No","No","No","No"
"Lilac-tailed Parrotlet","Yes","No","No","No","No"
"Little Penguin","Yes","No","No","No","No"
"Little Raven","Yes","No","No","No","No"
"Little Stint","Yes","No","No","No","No"
"Little Tern","Yes","No","No","No","No"
"Little Tinamou","Yes","No","No","No","No"
"Light-vented Bulbul","Yes","No","No","No","No"
"Long-billed Corella","Yes","No","No","No","No"
"Long-billed Curlew","Yes","No","No","Yes","No"
"Long-billed Dowitcher","Yes","No","No","No","No"
"Long-billed Gnatwren","Yes","No","No","No","No"
"Long-billed Hermit","Yes","No","No","No","No"
"Long-billed Starthroat","Yes","No","No","No","No"
"Loten's Sunbird","Yes","No","No","No","No"
"Long-billed Thrasher","Yes","No","No","No","No"
"Long-crested Eagle","Yes","No","No","No","No"
"Long-eared Owl","Yes","No","No","No","No"
"Loggerhead Kingbird","Yes","No","No","No","No"
"Loggerhead Shrike","Yes","No","No","Yes","No"
"Long-tailed Duck","Yes","No","No","No","No"
"Long-tailed Jaeger","Yes","No","No","No","No"
"Long-tailed Koel","Yes","No","No","No","No"
"Long-tailed Manakin","Yes","No","No","No","No"
"Long-tailed Meadowlark","Yes","No","No","No","No"
"Long-tailed Mockingbird","Yes","No","No","No","No"
"Long-tailed Parakeet","Yes","No","No","No","No"
"Long-tailed Shrike","Yes","No","No","No","No"
"Long-toed Stint","Yes","No","No","No","No"
"Silver-throated Tit","Yes","No","No","No","No"
"Long-tailed Tyrant","Yes","No","No","No","No"
"Louisiana Waterthrush","Yes","No","No","No","No"
"Lovely Cotinga","Yes","No","No","No","No"
"Lowland White-eye","Yes","No","No","No","No"
"Long-winged Harrier","Yes","No","No","No","No"
"Least Storm-Petrel","Yes","No","No","No","No"
"Lesser Swallow-tailed Swift","Yes","No","No","No","No"
"Long-tailed Reed Finch","Yes","No","No","No","No"
"Long-tailed Silky-flycatcher","Yes","No","No","No","No"
"Long-tailed Wood-Partridge","Yes","No","No","No","No"
"Lucifer Hummingbird","Yes","No","No","No","No"
"Lucy's Warbler","Yes","No","No","No","No"
"Lesser Yellow-headed Vulture","Yes","No","No","No","No"
"Maroon-bellied Parakeet","Yes","No","No","No","No"
"MacGillivray's Warbler","Yes","No","No","No","No"
"Magellanic Diving-Petrel","Yes","No","No","No","No"
"Maroon-fronted Parrot","Yes","No","No","No","No"
"Magellanic Cormorant","Yes","No","No","No","No"
"Magnificent Frigatebird","Yes","No","No","No","No"
"Magpie Goose","Yes","No","No","No","No"
"Rivoli's Hummingbird","Yes","No","No","No","No"
"Talamanca Hummingbird","Yes","No","No","No","No"
"Magpie-lark","Yes","No","No","No","No"
"Magellanic Oystercatcher","Yes","No","No","No","No"
"Magellanic Penguin","Yes","No","No","No","No"
"Magellanic Plover","Yes","No","No","No","No"
"Oriental Magpie-Robin","Yes","No","No","No","No"
"Maguari Stork","Yes","No","No","No","No"
"Magellanic Tapaculo","Yes","No","No","No","No"
"Magnolia Warbler","Yes","Yes","No","No","No"
"Magellanic Woodpecker","Yes","No","No","No","No"
"Malabar Lark","Yes","No","No","No","No"
"Mallard","Yes","No","No","No","Yes"
"Malherbe's Parakeet","Yes","No","No","No","No"
"Mangrove Cuckoo","Yes","No","No","No","No"
"Mandarin Duck","Yes","No","No","No","No"
"Mangrove Hummingbird","Yes","No","No","No","No"
"Mangrove Rail","Yes","No","No","No","No"
"Manx Shearwater","Yes","No","No","No","No"
"Mangrove Swallow","Yes","No","No","No","No"
"Mangrove Vireo","Yes","No","No","No","No"
"Malabar Pied-Hornbill","Yes","No","No","No","No"
"Martial Eagle","Yes","No","No","No","No"
"Marbled Godwit","Yes","No","No","Yes","No"
"Marbled Murrelet","Yes","No","No","No","No"
"Martinique Oriole","Yes","No","No","No","No"
"Maroon Oriole","Yes","No","No","No","No"
"Marsh Sandpiper","Yes","No","No","No","No"
"Marvelous Spatuletail","Yes","No","No","No","No"
"Marabou Stork","Yes","No","No","No","No"
"Marsh Tit","Yes","No","No","No","No"
"Marsh Wren","Yes","Yes","No","No","No"
"Masked Duck","Yes","No","No","No","No"
"Masked Flowerpiercer","Yes","No","No","No","No"
"Masked Lapwing","Yes","No","No","No","No"
"Masked Laughingthrush","Yes","No","No","No","No"
"Markham's Storm-Petrel","Yes","No","No","No","No"
"Masatierra Petrel","Yes","No","No","No","No"
"Masked Tityra","Yes","No","No","No","No"
"Masked Woodswallow","Yes","No","No","No","No"
"Masked Yellowthroat","Yes","No","No","No","No"
"Black-lored Yellowthroat","Yes","No","No","No","No"
"Southern Yellowthroat","Yes","No","No","No","No"
"Magenta-throated Woodstar","Yes","No","No","No","No"
"Marbled Wood-Quail","Yes","No","No","No","No"
"Thick-billed Longspur","Yes","No","No","Yes","No"
"McKay's Bunting","Yes","No","No","No","No"
"Many-colored Rush Tyrant","Yes","No","No","No","No"
"Mealy Amazon","Yes","No","No","No","No"
"Meadow Pipit","Yes","No","No","No","No"
"Mediterranean Gull","Yes","No","No","No","No"
"Melodious Blackbird","Yes","No","No","No","No"
"Chinese Hwamei","Yes","No","No","No","No"
"Merlin","Yes","No","No","No","No"
"Common Gull","Yes","No","No","No","No"
"Short-billed Gull","Yes","No","No","No","No"
"Mexican Chickadee","Yes","No","No","No","No"
"Mexican Duck","Yes","No","No","No","No"
"Mexican Hermit","Yes","No","No","No","No"
"Transvolcanic Jay","Yes","No","No","No","No"
"Mexican Jay","Yes","No","No","No","No"
"Mexican Parrotlet","Yes","No","No","No","No"
"Mexican Sheartail","Yes","No","No","No","No"
"Mexican Woodnymph","Yes","No","No","No","No"
"Military Macaw","Yes","No","No","No","No"
"Milky Stork","Yes","No","No","No","No"
"Mississippi Kite","Yes","No","No","No","No"
"Mistle Thrush","Yes","No","No","No","No"
"Mitred Parakeet","Yes","No","No","No","No"
"Mottle-cheeked Tyrannulet","Yes","No","No","No","No"
"Montagu's Harrier","Yes","No","No","No","No"
"Montserrat Oriole","Yes","No","No","No","No"
"Montezuma Oropendola","Yes","No","No","No","No"
"Monk Parakeet","Yes","No","No","No","No"
"Montezuma Quail","Yes","No","No","No","No"
"Morepork","Yes","No","No","No","No"
"Mourning Sierra Finch","Yes","No","No","No","No"
"Mountain Scops-Owl","Yes","No","No","No","No"
"Mottled Duck","Yes","No","No","No","No"
"Mottled Owl","Yes","No","No","No","No"
"Mottled Petrel","Yes","No","No","No","No"
"Mottled Piculet","Yes","No","No","No","No"
"Moustached Antwren","Yes","No","No","No","No"
"Mountain Bluebird","Yes","Yes","Yes","No","No"
"Mountain Caracara","Yes","No","No","No","No"
"Mountain Chickadee","Yes","No","No","No","No"
"Mourning Dove","Yes","Yes","No","No","No"
"Mountain Elaenia","Yes","No","No","No","No"
"Mountain Hawk-Eagle","Yes","No","No","No","No"
"Malabar Imperial-Pigeon","Yes","No","No","No","No"
"Mountain Parakeet","Yes","No","No","No","No"
"Mountain Plover","Yes","No","No","No","No"
"Mountain Quail","Yes","No","No","No","No"
"Mountain Thrush","Yes","No","No","No","No"
"Mountain Trogon","Yes","No","No","No","No"
"Moustached Turca","Yes","No","No","No","No"
"Mourning Warbler","Yes","Yes","No","No","No"
"Mugimaki Flycatcher","Yes","No","No","No","No"
"Multicolored Tanager","Yes","No","No","No","No"
"Muscovy Duck","Yes","No","No","No","No"
"Musk Duck","Yes","No","No","No","No"
"Musk Lorikeet","Yes","No","No","No","No"
"Mute Swan","Yes","No","No","No","No"
"Narrow-billed Tody","Yes","No","No","No","No"
"Narcissus Flycatcher","Yes","No","No","No","No"
"Nashville Warbler","Yes","Yes","Yes","No","No"
"Nava's Wren","Yes","No","No","No","No"
"New Holland Honeyeater","Yes","No","No","No","No"
"Neotropic Cormorant","Yes","No","No","No","No"
"New Zealand Bellbird","Yes","No","No","No","No"
"New Zealand Falcon","Yes","No","No","No","No"
"New Zealand Fantail","Yes","No","No","No","No"
"New Zealand Grebe","Yes","No","No","No","No"
"New Zealand Kaka","Yes","No","No","No","No"
"New Zealand Pigeon","Yes","No","No","No","No"
"Chatham Islands Pigeon","Yes","No","No","No","No"
"North Island Robin","Yes","No","No","No","No"
"South Island Robin","Yes","No","No","No","No"
"New Zealand Scaup","Yes","No","No","No","No"
"New Zealand Storm-Petrel","Yes","No","No","No","No"
"North Island Brown Kiwi","Yes","No","No","No","No"
"Nicaraguan Grackle","Yes","No","No","No","No"
"Nightingale Wren","Yes","No","No","No","No"
"Nilgiri Flycatcher","Yes","No","No","No","No"
"Nicaraguan Seed-Finch","Yes","No","No","No","No"
"Northern Beardless-Tyrannulet","Yes","No","No","No","No"
"Northern Barred-Woodcreeper","Yes","No","No","No","No"
"Abyssinian Ground-Hornbill","Yes","No","No","No","No"
"Northern Hawk Owl","Yes","No","No","No","No"
"Noisy Friarbird","Yes","No","No","No","No"
"Noisy Miner","Yes","No","No","No","No"
"Noisy Pitta","Yes","No","No","No","No"
"Northern Pygmy-Owl","Yes","No","No","No","No"
"Northern Bentbill","Yes","No","No","No","No"
"Northern Bobwhite","Yes","No","No","No","No"
"Northern Boobook","Yes","No","No","No","No"
"Northern Cardinal","Yes","Yes","No","No","No"
"Northern Emerald-Toucanet","Yes","No","No","No","No"
"Northern Flicker","Yes","Yes","Yes","No","No"
"Guatemalan Flicker","Yes","No","No","No","No"
"Northern Fulmar","Yes","No","No","No","No"
"Northern Gannet","Yes","No","No","No","No"
"Northern Giant-Petrel","Yes","No","No","No","No"
"American Goshawk","Yes","No","No","No","No"
"Nordmann's Greenshank","Yes","No","No","No","No"
"Hen Harrier","Yes","No","No","No","No"
"Northern Harrier","Yes","No","No","No","No"
"Northern Jacana","Yes","No","No","No","No"
"Northern Lapwing","Yes","No","No","No","No"
"Northern Mockingbird","Yes","No","No","No","No"
"Northern Parula","Yes","Yes","No","No","No"
"Northern Pintail","Yes","No","No","No","Yes"
"Northern Potoo","Yes","No","No","No","No"
"Northern Screamer","Yes","No","No","No","No"
"Northern Shoveler","Yes","No","No","No","Yes"
