"common_name","eBird","BAMv4","BAMv5","CGAMv1","DUC"
"Black-winged Stilt","Yes","No","No","No","No"
"Black-whiskered Vireo","Yes","No","No","No","No"
"Black Antshrike","Yes","No","No","No","No"
"Black Bulbul","Yes","No","No","No","No"
"Black Catbird","Yes","No","No","No","No"
"Blackish Cinclodes","Yes","No","No","No","No"
"Eurasian Blackcap","Yes","No","No","No","No"
"Black Crake","Yes","No","No","No","No"
"Black Currawong","Yes","No","No","No","No"
"Black Drongo","Yes","No","No","No","No"
"Black Eagle","Yes","No","No","No","No"
"Black Guan","Yes","No","No","No","No"
"Black Honeyeater","Yes","No","No","No","No"
"Black Kite","Yes","No","No","No","No"
"Black Oropendola","Yes","No","No","No","No"
"Blackish Oystercatcher","Yes","No","No","No","No"
"Blacksmith Lapwing","Yes","No","No","No","No"
"Black Redstart","Yes","No","No","No","No"
"Black Thrush","Yes","No","No","No","No"
"Black Siskin","Yes","No","No","No","No"
"Black Stilt","Yes","No","No","No","No"
"Black Stork","Yes","No","No","No","No"
"Blackish Tapaculo","Yes","No","No","No","No"
"Blue-billed Duck","Yes","No","No","No","No"
"Blue-black Grassquit","Yes","No","No","No","No"
"Black-billed Gull","Yes","No","No","No","No"
"Black-bellied Hummingbird","Yes","No","No","No","No"
"Blue-backed Manakin","Yes","No","No","No","No"
"Black-backed Oriole","Yes","No","No","No","No"
"Black-billed Amazon","Yes","No","No","No","No"
"Black-breasted Puffbird","Yes","No","No","No","No"
"Black-backed Puffback","Yes","No","No","No","No"
"Black-bellied Sandgrouse","Yes","No","No","No","No"
"Black-banded Woodcreeper","Yes","No","No","No","No"
"Black-bodied Woodpecker","Yes","No","No","No","No"
"Black-bellied Wren","Yes","No","No","No","No"
"Black-crowned Antpitta","Yes","No","No","No","No"
"Black-crested Antshrike","Yes","No","No","No","No"
"Blue-crowned Chlorophonia","Yes","No","No","No","No"
"Black-crested Coquette","Yes","No","No","No","No"
"Black-capped Flycatcher","Yes","No","No","No","No"
"Black-collared Hawk","Yes","No","No","No","No"
"Blue-chested Hummingbird","Yes","No","No","No","No"
"Blue-capped Hummingbird","Yes","No","No","No","No"
"Black-chested Jay","Yes","No","No","No","No"
"Black-capped Kingfisher","Yes","No","No","No","No"
"Black-capped Siskin","Yes","No","No","No","No"
"Black-chinned Siskin","Yes","No","No","No","No"
"Black-chested Sparrow","Yes","No","No","No","No"
"Black-capped Swallow","Yes","No","No","No","No"
"Black-capped Tanager","Yes","No","No","No","No"
"Black-crowned Tityra","Yes","No","No","No","No"
"Black-crested Titmouse","Yes","No","No","No","No"
"Black-cheeked Warbler","Yes","No","No","No","No"
"Black-cheeked Woodpecker","Yes","No","No","No","No"
"Black-faced Antthrush","Yes","No","No","No","No"
"Black-fronted Dotterel","Yes","No","No","No","No"
"Black-faced Grosbeak","Yes","No","No","No","No"
"Blue-faced Honeyeater","Yes","No","No","No","No"
"Black-faced Laughingthrush","Yes","No","No","No","No"
"Black-faced Monarch","Yes","No","No","No","No"
"Black-faced Solitaire","Yes","No","No","No","No"
"Black-faced Spoonbill","Yes","No","No","No","No"
